feature,importance
course_avg_grade,0.44668169107734085
professor_avg_grade,0.12952824226769877
difficulty,0.0515223899759723
rating,0.03281625487343797
bert_dim_6,0.01811221170572348
sentiment_score,0.01697031104347155
bert_dim_23,0.0163826705391404
bert_dim_20,0.01564072036982502
bert_dim_26,0.01451273779450068
bert_dim_37,0.01228741759303697
bert_dim_35,0.012186594346685207
bert_dim_3,0.011736527686908343
bert_dim_12,0.011400891356905732
bert_dim_2,0.011387207662651522
course_avg_rating,0.011005675831452628
bert_dim_22,0.010577898457002905
bert_dim_17,0.009813653953513496
bert_dim_38,0.009749423525278633
bert_dim_27,0.009529430459605063
bert_dim_16,0.007523295891860797
bert_dim_47,0.006892305982891078
bert_dim_30,0.006758040350241027
bert_dim_48,0.006107861372077513
bert_dim_19,0.005814727109236383
bert_dim_34,0.005729226759308508
bert_dim_46,0.005564700345371113
bert_dim_45,0.005439164123097401
bert_dim_49,0.0052992499451581425
bert_dim_40,0.005273918702310933
bert_dim_13,0.004898197725668122
bert_dim_31,0.004450747142936538
bert_dim_25,0.004371721720338515
bert_dim_36,0.004338261802850519
bert_dim_8,0.004216198883972362
bert_dim_7,0.0039640896586557945
bert_dim_14,0.003885324059895397
bert_dim_0,0.0038374617169508415
bert_dim_4,0.0037759646781021796
bert_dim_10,0.003528401778916251
bert_dim_41,0.0034637492514571844
bert_dim_33,0.0033332664927423357
bert_dim_21,0.003288272718076353
professor_review_count,0.003233291782427434
professor_avg_rating,0.0031615422153239885
bert_dim_15,0.002864118074751859
bert_dim_43,0.0028339584590443474
course_avg_difficulty,0.00247579137478457
bert_dim_9,0.002452381344450103
bert_dim_39,0.0022762560701727304
bert_dim_29,0.0021797770564571644
bert_dim_28,0.002120531854288447
bert_dim_44,0.0020149184710040358
bert_dim_5,0.0020027544984688337
bert_dim_18,0.0019718947685143625
bert_dim_32,0.0018679166539772704
professor_avg_difficulty,0.0011804459330686157
bert_dim_42,0.0011514221257012582
bert_dim_1,0.001061523311158154
bert_dim_24,0.0010114683230449287
bert_dim_11,0.0005439089510950953
